Trans Date,Store,Store Name,City,Brand,Txn,NetAmount,DiscAmount,Dine In Sale,Dine In Trans,Delivery Sale,Delivery Trans,3rd Party Sale,3rd Party Trans,Take Away Sale,Take Away Trans
16-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,80,26337.67,1127,24983.67,142,0,0,11012,182,4263,136
17-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,68,20048.36,799,18417.36,155,0,0,15538,180,4032,178
18-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,106,33493.66,1401.98,29514.92,102,0,0,10897,200,6889,165
19-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,217,76371.12,2127.4,74460.74,191,0,0,17675,190,5566,122
20-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,198,73117,984.97,71334.76,190,0,0,20298,135,4957,183
21-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,86,28670.16,957,26245.14,146,0,0,26025,192,7481,110
22-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,103,36191.26,1047.02,33395.69,161,0,0,19987,134,5596,122
23-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,111,38528.6,857.8,37351.6,168,0,0,12507,141,1095,175
24-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,124,48544.65,1364.14,45813.65,148,0,0,14041,108,2590,102
25-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,286,140454.6,1261,137210.6,106,0,0,11268,156,4103,175
26-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,183,71346.63,14987.41,68317.23,174,0,0,22779,139,1177,126
27-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,193,68110.43,1418.6,66788.03,182,0,0,29579,200,3656,121
28-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,122,40649.22,764.15,37720.08,199,0,0,15006,101,5005,193
29-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,123,44379.15,1151.82,0,105,0,0,12694,197,7325,186
30-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,149,50879.4,890.99,48254,162,0,0,10480,109,7628,157
31-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,118,70600.81,447,68153.81,189,0,0,27382,116,7322,110
01-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,85,23012.23,297.01,14818.62,115,0,0,12413,102,7695,161
02-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,64,21386.03,257.5,19583.48,144,0,0,23712,152,4853,199
03-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,69,21773.6,407.63,20140.55,129,0,0,20428,141,6765,128
04-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,66,18110.29,415.6,16846.83,184,0,0,14480,181,1638,155
05-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,112,38509.62,141.5,36309,172,0,0,21190,164,2555,107
06-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,151,52007.36,706.38,51009.55,117,0,0,14387,114,1565,153
07-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,57,15360.95,580.8,14077.69,124,0,0,14836,119,6789,174
08-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,37,10683.85,295.28,8872.14,195,0,0,23690,116,1866,187
09-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,65,20064.67,284.77,18620.39,182,0,0,22626,167,3510,178
10-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,61,18018.64,895.7,17152.93,198,0,0,21101,195,6396,147
11-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,64,22458.32,467.5,20251.36,149,0,0,18737,180,7302,131
12-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,135,50090.57,1036.1,48349.37,153,0,0,20000,188,3158,106
13-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,140,51723.82,580,49882.74,100,0,0,13925,115,2872,193
14-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,73,19588.93,374,18075.89,160,0,0,21654,177,2151,191
15-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,121,30335.39,470,20709.72,146,0,0,10340,165,6432,102
16-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,59,20136.39,115.6,19656.96,168,0,0,19876,150,7638,166
17-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,73,21249.69,172,20987.49,184,0,0,25671,155,5101,118
18-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,80,24534.28,206.39,23941.03,165,0,0,27910,194,7361,113
19-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,158,56346.88,249,54567.81,200,0,0,23712,169,4400,142
20-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,178,62311.21,447.7,59679.6,103,0,0,15228,153,3886,108
21-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,71,21597.43,232.6,19778.06,173,0,0,26122,124,3471,140
22-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,79,24392.31,236,23385.28,104,0,0,26734,120,5780,150
23-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,103,31563.7,419.04,29749.26,108,0,0,16450,108,3141,182
24-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,133,47236.2,1147.1,45946.9,126,0,0,13834,185,2396,113
25-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,283,110156.33,1214,109251.28,197,0,0,14589,106,3599,196
26-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,187,62649.78,7432.6,61529.13,137,0,0,19836,176,6946,114
27-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,147,49109.52,149,48682.5,163,0,0,27411,161,6149,121
28-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,79,23298.8,334,21702.71,117,0,0,25142,125,1757,184
29-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,68,21470,641.14,0,142,0,0,12555,169,4853,166
30-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,83,25759.98,331,25219.95,189,0,0,12403,142,2365,162
31-12-2020,BAN003,Orion Mall,Bangalore,Wow! Momo,93,30069.52,340.2,28976.69,103,0,0,12011,178,1056,153
01-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,55,9830.71,803.77,753.48,121,0,0,21088,186,2488,167
02-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,17,4626.57,1057.43,198,173,0,0,26934,107,7774,198
03-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,14,2842.8,494.2,984,164,0,0,11705,113,3725,169
04-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,32,6528.75,1989.63,1582.38,146,0,0,14564,109,3973,184
05-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,26,5181.45,910.2,2249.09,197,0,0,29771,186,5407,123
06-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,14,2535.97,754.17,493.95,190,0,0,26252,162,2102,101
07-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,11,1352.35,439.6,682.95,200,0,0,13406,115,2910,160
08-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,22,4251.7,790.1,1250.8,150,0,0,14456,143,2438,103
09-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,14,2811.08,764.1,614.8,190,0,0,13238,102,3228,129
10-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,10,1975.64,644.6,501.24,144,0,0,16458,167,1284,107
11-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,38,8638.64,2540.05,1224.23,182,0,0,10425,193,5922,199
12-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,27,6120.3,1088.7,2690.24,113,0,0,25957,178,7481,106
13-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,24,5522.38,904.36,1734.42,148,0,0,18962,131,7960,149
14-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,16,3027.49,954.7,463,135,0,0,25044,192,4682,156
15-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,56,10584.98,551.6,318,196,0,0,19833,191,4641,122
16-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,16,3297.36,755.6,993,115,0,0,26653,125,3937,153
17-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,17,4715.04,809.1,832.14,195,0,0,20711,165,7970,107
18-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,17,4473.92,451.99,1663.72,191,0,0,25173,170,4591,144
19-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,34,6368.93,1369.32,3710.9,107,0,0,22568,158,1942,174
20-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,22,4965.39,774.8,1828,100,0,0,26325,104,2493,167
21-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,27,6033.71,938,2170.09,140,0,0,11285,121,4839,169
22-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,20,4622.29,554.8,2101.09,169,0,0,16129,111,7240,166
23-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,15,2959.07,607.6,1255.48,163,0,0,24778,194,7345,194
24-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,10,2796.43,557,600.24,187,0,0,20491,179,6864,121
25-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,28,6281.21,1011.17,2335.52,163,0,0,28905,187,3312,144
26-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,28,5357.68,1311.47,3195.38,111,0,0,26442,164,3483,137
27-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,30,5270.4,1038.4,2615.84,164,0,0,20066,103,5638,115
28-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,20,4757.59,1258.6,816.19,115,0,0,24470,169,3847,127
29-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,15,3101.28,781.3,0,164,0,0,22860,162,2643,155
30-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,23,6086.75,1258.8,1315.28,140,0,0,24414,125,3267,139
31-12-2020,BAN004,Hyper City Retail,Bangalore,Wow! Momo,20,4026.56,602.4,1497.38,155,0,0,23361,128,3121,175
01-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,42,9654.4,459,4422.4,199,0,0,14276,200,5406,159
02-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,26,5151.13,270,4611.13,133,0,0,22525,139,6147,101
03-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,19,4020.4,80,3118.68,181,0,0,16321,114,5142,137
04-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,33,6605.04,1348,4363.85,160,0,0,13246,107,1567,138
05-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,45,10148.69,293,9516.69,104,0,0,25244,116,3555,179
06-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,36,15439.15,301,14895.15,144,0,0,18895,113,6789,140
07-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,20,4752.79,174,3425.79,199,0,0,20718,181,7593,153
08-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,32,5910.54,512.2,4439.74,140,0,0,22747,152,1978,197
09-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,18,3348.4,48,3189.4,152,0,0,24735,194,5278,170
10-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,33,7285.2,82,6234.2,197,0,0,22713,178,4092,122
11-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,51,11652.49,1573.9,8461.2,194,0,0,14614,104,3508,188
12-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,53,15848.33,372,13739.63,132,0,0,24596,185,4363,182
13-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,50,10089.06,342,8893.06,151,0,0,10072,176,4087,146
14-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,9,4558.5,297.2,3607.7,132,0,0,18639,191,5165,113
15-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,47,10617.36,449.27,3406.25,182,0,0,27761,151,1203,173
16-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,33,7861.96,628.2,5372.67,115,0,0,17270,193,5166,137
17-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,34,6710.37,368.6,5140.97,152,0,0,12186,164,6207,140
18-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,33,6488.2,313.6,5198.25,130,0,0,25650,157,3641,191
19-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,18,18638.53,984.1,15336.49,120,0,0,26429,134,7330,158
20-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,7,13483.6,90,12611.6,154,0,0,10708,162,7239,172
21-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,8,5795.77,260.85,4877.87,153,0,0,24228,123,1101,180
22-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,10,8420.86,623,7483.25,174,0,0,14537,135,1408,165
23-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,8,10077.78,199,8643.4,193,0,0,17218,199,3088,191
24-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,9,17503.68,230,16704.3,154,0,0,25501,105,1400,177
25-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,10,31357.16,619.6,29787.2,137,0,0,18049,172,3584,191
26-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,7,21222.1,308,20432.1,157,0,0,22820,196,1492,107
27-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,6,20439.89,264.1,20055.8,123,0,0,19822,139,3300,197
28-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,9,9776.86,661.55,7997.85,181,0,0,10518,153,6372,137
29-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,9,12584.12,3534.75,0,107,0,0,14348,113,6755,132
30-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,5,13799.9,169,13108.9,187,0,0,29732,166,3158,185
31-12-2020,BAN005,Garuda Mall,Bangalore,Wow! Momo,7,10389.13,179.55,9253.68,163,0,0,10690,149,6688,183
01-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,56,10459.25,475.6,2555.85,112,0,0,15134,128,5032,177
02-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,24,5093.32,1262.1,2494.42,194,0,0,12249,179,5377,157
03-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,30,6125.6,630.2,3035.8,134,0,0,23856,171,6862,120
04-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,40,8024.42,1834.24,2336.9,152,0,0,14918,196,7902,192
05-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,39,7751.31,666.2,4392.51,136,0,0,29875,200,4205,106
06-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,46,10019.18,726,4780.18,100,0,0,24172,192,5766,170
07-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,27,6489.12,948.3,2083.42,128,0,0,16554,108,1295,183
08-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,30,5441.7,1325.2,759.71,111,0,0,11115,200,3218,194
09-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,29,5383.57,775.2,1714.04,180,0,0,27267,182,7292,190
10-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,22,3848.73,178.2,2251.39,179,0,0,16927,149,2791,122
11-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,33,7213.74,1394,2701.74,172,0,0,10132,100,3127,184
12-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,43,10108.99,1103.6,6506.21,186,0,0,25618,103,3078,155
13-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,37,8769.98,678.6,4329.58,175,0,0,10963,154,6955,100
14-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,17,2628.22,100,1997.22,119,0,0,17304,133,2695,108
15-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,92,17722.02,483.01,4349.03,136,0,0,20929,132,3130,190
16-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,31,11062.03,1574.1,7682.13,182,0,0,23357,175,6300,103
17-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,24,4031.45,559,2177.5,109,0,0,13006,154,1086,137
18-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,30,7818.65,769,2947.65,186,0,0,12618,137,1819,134
19-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,53,11997.89,811.55,6232.37,102,0,0,21800,165,4511,129
20-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,46,7817.32,839.9,4868.22,169,0,0,25101,148,4743,106
21-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,28,6046.11,679.6,2578.71,185,0,0,14770,102,1816,153
22-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,36,9050.42,730.6,5639.02,159,0,0,23002,169,2557,197
23-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,23,5971.55,686.6,3526.15,176,0,0,24744,158,4824,195
24-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,34,7253.38,670.32,5133.7,115,0,0,22280,185,7471,147
25-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,54,11865.74,901.6,9201.15,157,0,0,28353,151,1316,189
26-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,33,7634.76,733.6,5854.36,169,0,0,23318,145,1433,129
27-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,45,9230.19,1152,5338.19,103,0,0,10082,170,4146,106
28-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,21,5136.75,705.7,2721.08,156,0,0,19395,148,3955,143
29-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,32,4686.38,659.5,0,152,0,0,15513,129,7952,103
30-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,35,8156.97,866,5311.97,196,0,0,12154,190,2014,134
31-12-2020,BAN006,Gopalan Mall,Bangalore,Wow! Momo,40,9153.9,1173.8,5360.7,189,0,0,29114,137,6937,128
01-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,43,11323.3,67.6,2220.9,102,0,0,20889,180,1793,118
02-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,16,3166.37,280,1412.95,136,0,0,21460,172,6811,112
03-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,21,4849.05,447.56,1660,112,0,0,20044,125,2214,101
04-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,33,5870.97,1201,1084.75,194,0,0,17182,151,1805,144
05-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,26,5608,100,4247,158,0,0,10068,147,7152,107
06-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,25,4112.45,219.06,1947.8,171,0,0,16945,135,2273,183
07-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,15,2845.95,727,1080.95,195,0,0,26041,117,5965,112
08-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,14,3084.25,547.6,516,121,0,0,11367,175,2532,111
09-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,16,2920.18,678.2,862,142,0,0,20915,125,3703,191
10-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,18,3733.7,306.3,1401,174,0,0,23035,183,1284,135
11-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,31,6174.79,1044.45,2496,119,0,0,11307,135,2357,159
12-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,33,7117.62,969,3426.24,138,0,0,23535,159,5330,179
13-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,18,3943.96,1086.6,392,136,0,0,22045,110,1456,103
14-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,18,4017.65,982,1170.65,120,0,0,22338,120,4911,133
15-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,52,14737.75,240,1437.95,136,0,0,24050,144,7790,152
16-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,25,4112.5,655,1818.13,156,0,0,19586,117,4450,192
17-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,14,2170.06,289.5,1363,163,0,0,21940,105,3304,118
18-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,26,5042.3,570.7,3075,101,0,0,22743,152,3338,181
19-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,30,5665.58,989.6,2442,105,0,0,10029,197,6061,108
20-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,27,5412.41,422,3080,153,0,0,12808,139,4967,148
21-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,18,3853.97,674.1,1936,107,0,0,29465,167,1807,191
22-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,17,3785.8,420,2207.8,139,0,0,15780,101,6318,194
23-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,18,3257.4,335.6,1957,112,0,0,24599,114,1954,130
24-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,17,4345.36,743.2,1247.95,114,0,0,24563,165,5043,144
25-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,40,8351.76,951.15,3830.15,115,0,0,11977,138,6735,156
26-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,22,4252.45,848.5,163.95,117,0,0,29878,144,1400,151
27-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,20,4064.7,320.8,2539.5,199,0,0,29764,192,2836,105
28-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,17,2975.8,470,950.8,158,0,0,29921,113,2401,102
29-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,20,4008.69,896,0,163,0,0,14582,155,3825,172
30-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,21,5848.73,1205.4,1947,179,0,0,18493,107,6566,147
31-12-2020,BAN008,Marathalli - more,Bangalore,Wow! Momo,22,4711.2,636.5,2178.32,187,0,0,25871,174,1819,186
01-12-2020,BAN010,MSR Elements Mall,Bangalore,Wow! Momo,56,12276,310,3041,167,0,0,26162,113,6605,128
02-12-2020,BAN010,MSR Elements Mall,Bangalore,Wow! Momo,32,7106.47,524,4590.52,133,0,0,11857,131,7418,175
03-12-2020,BAN010,MSR Elements Mall,Bangalore,Wow! Momo,26,5335.88,429,3649.5,154,0,0,19131,144,4861,152
04-12-2020,BAN010,MSR Elements Mall,Bangalore,Wow! Momo,39,7497.52,1265.06,3267,158,0,0,15387,102,2949,171
05-12-2020,BAN010,MSR Elements Mall,Bangalore,Wow! Momo,50,10252.38,446.1,7569.8,143,0,0,29821,121,5693,122
06-12-2020,BAN010,MSR Elements Mall,Bangalore,Wow! Momo,41,8616.02,244.59,6796.95,169,0,0,17403,195,2686,157
07-12-2020,BAN010,MSR Elements Mall,Bangalore,Wow! Momo,38,7443.72,380.49,5819.21,102,0,0,12079,157,6945,194
08-12-2020,BAN010,MSR Elements Mall,Bangalore,Wow! Momo,19,3411.66,193.6,2494.26,121,0,0,25599,131,3748,114
09-12-2020,BAN010,MSR Elements Mall,Bangalore,Wow! Momo,32,6938.46,556.99,4310,128,0,0,12099,138,1391,102
10-12-2020,BAN010,MSR Elements Mall,Bangalore,Wow! Momo,28,6588.72,331,3829.71,101,0,0,15544,145,6089,132
11-12-2020,BAN010,MSR Elements Mall,Bangalore,Wow! Momo,31,5757.49,742.28,3051.38,188,0,0,11452,104,5270,180
12-12-2020,BAN010,MSR Elements Mall,Bangalore,Wow! Momo,47,10417.65,900.57,6592,180,0,0,10120,193,1133,131
13-12-2020,BAN010,MSR Elements Mall,Bangalore,Wow! Momo,50,10785.42,435.38,8376.91,135,0,0,22638,198,3212,169
14-12-2020,BAN010,MSR Elements Mall,Bangalore,Wow! Momo,32,5233.43,1157.99,3509.04,140,0,0,21034,135,7865,142
15-12-2020,BAN010,MSR Elements Mall,Bangalore,Wow! Momo,78,14457.52,182,3769.52,174,0,0,29961,101,2502,106
16-12-2020,BAN010,MSR Elements Mall,Bangalore,Wow! Momo,32,8900.41,324.95,6121.66,128,0,0,23512,104,2341,194
17-12-2020,BAN010,MSR Elements Mall,Bangalore,Wow! Momo,24,5342.41,159.59,4235,178,0,0,25822,142,5497,143
18-12-2020,BAN010,MSR Elements Mall,Bangalore,Wow! Momo,34,7505.78,300.98,4995.76,134,0,0,25250,135,3566,178
19-12-2020,BAN010,MSR Elements Mall,Bangalore,Wow! Momo,59,11579.07,1261.79,9863.66,105,0,0,29114,198,3699,137
20-12-2020,BAN010,MSR Elements Mall,Bangalore,Wow! Momo,71,18384.41,635.2,13224.28,108,0,0,14009,166,1010,134
21-12-2020,BAN010,MSR Elements Mall,Bangalore,Wow! Momo,46,10686.16,465.22,7578.18,110,0,0,26589,118,3828,118
